epoch,train_pixel_AUROC,train_pixel_F1,val_pixel_AUROC,val_pixel_F1,train_image_AUROC,train_image_F1,val_image_AUROC,val_image_F1,train_loss,val_loss
0,0.8752,0.2804,0.85996,0.23036,1,1,1,1,0.50993,0.53496
1,0.8738,0.2799,0.85788,0.22135,1,1,1,1,0.49723,0.56083
2,0.8731,0.2789,0.85659,0.21138,1,1,1,1,0.48689,0.58596
3,0.8737,0.28,0.85748,0.21977,1,1,1,1,0.48963,0.55827
4,0.8745,0.2812,0.85876,0.2287,1,1,1,1,0.49226,0.52897
5,0.8755,0.2822,0.85899,0.23016,1,1,1,1,0.49564,0.51147
6,0.8768,0.2835,0.85912,0.23145,1,1,1,1,0.49943,0.49252
7,0.8773,0.2841,0.85967,0.23201,1,1,1,1,0.47748,0.51056
8,0.8779,0.2847,0.86034,0.23267,1,1,1,1,0.45394,0.52918
9,0.8785,0.2853,0.86086,0.23323,1,1,1,1,0.44927,0.49857
10,0.8792,0.2859,0.86145,0.23389,1,1,1,1,0.44359,0.46775
11,0.8798,0.2865,0.86198,0.23445,1,1,1,1,0.45618,0.48009
12,0.8805,0.2871,0.86256,0.23511,1,1,1,1,0.46952,0.49315
13,0.881,0.2877,0.86309,0.23567,1,1,1,1,0.45704,0.46126
14,0.8818,0.2883,0.86367,0.23633,1,1,1,1,0.44293,0.42859
15,0.8823,0.2889,0.86417,0.23693,1,1,1,1,0.42632,0.43117
16,0.8831,0.2895,0.86478,0.23755,1,1,1,1,0.40785,0.43404
17,0.8837,0.2901,0.86531,0.23813,1,1,1,1,0.41248,0.44758
18,0.8844,0.2907,0.86589,0.23877,1,1,1,1,0.41775,0.46182
19,0.885,0.2913,0.86644,0.23936,1,1,1,1,0.40296,0.46366
20,0.8857,0.2919,0.867,0.23999,1,1,1,1,0.38728,0.46501
21,0.8861,0.2925,0.86728,0.24027,1,1,1,1,0.38212,0.45297
22,0.8865,0.2931,0.86756,0.24056,1,1,1,1,0.37689,0.44049
23,0.8869,0.2937,0.86784,0.24084,1,1,1,1,0.37889,0.43186
24,0.8873,0.2943,0.86812,0.24113,1,1,1,1,0.3807,0.42297
25,0.8877,0.2949,0.8684,0.24141,1,1,1,1,0.35461,0.41573
26,0.8881,0.2955,0.86868,0.2417,1,1,1,1,0.32725,0.40799
27,0.8884,0.2961,0.86896,0.24198,1,1,1,1,0.32412,0.38852
28,0.8889,0.2967,0.86924,0.24227,1,1,1,1,0.32067,0.36821
29,0.8893,0.2973,0.86952,0.24255,1,1,1,1,0.32708,0.37244
30,0.8897,0.2979,0.8698,0.24284,1,1,1,1,0.33358,0.37683
31,0.89,0.2983,0.86997,0.24301,1,1,1,1,0.3243,0.37529
32,0.8902,0.2986,0.87015,0.24321,1,1,1,1,0.31423,0.37297
33,0.8905,0.299,0.87032,0.24339,1,1,1,1,0.32238,0.38698
34,0.8907,0.2993,0.8705,0.24358,1,1,1,1,0.33042,0.40057
35,0.8909,0.2996,0.87067,0.24376,1,1,1,1,0.31386,0.3875
36,0.8912,0.3,0.87085,0.24395,1,1,1,1,0.29563,0.37238
37,0.8914,0.3003,0.87101,0.24413,1,1,1,1,0.28655,0.34234
38,0.8917,0.3007,0.8712,0.24432,1,1,1,1,0.2752,0.30937
39,0.8919,0.301,0.87136,0.24448,1,1,1,1,0.29789,0.32962
40,0.8922,0.3014,0.87155,0.24469,1,1,1,1,0.32242,0.35121
41,0.8923,0.3016,0.87166,0.2448,1,1,1,1,0.30097,0.33733
42,0.8925,0.3019,0.87178,0.24493,1,1,1,1,0.27824,0.32313
43,0.8926,0.3021,0.87188,0.24504,1,1,1,1,0.27607,0.31439
44,0.8928,0.3024,0.87201,0.24517,1,1,1,1,0.27376,0.30549
45,0.8929,0.3026,0.87211,0.24528,1,1,1,1,0.25422,0.31627
46,0.8931,0.3029,0.87224,0.24541,1,1,1,1,0.23357,0.32736
47,0.8932,0.3031,0.87234,0.24551,1,1,1,1,0.23715,0.32756
48,0.8934,0.3034,0.87247,0.24565,1,1,1,1,0.24084,0.3275
49,0.8935,0.3036,0.87258,0.24576,1,1,1,1,0.24236,0.32132
50,0.8937,0.3039,0.8727,0.24589,1,1,1,1,0.2436,0.31466
51,0.8938,0.3041,0.87277,0.24596,1,1,1,1,0.22635,0.2877
52,0.8939,0.3042,0.87285,0.24604,1,1,1,1,0.21801,0.26005
53,0.894,0.3044,0.87292,0.24611,1,1,1,1,0.23788,0.26169
54,0.8941,0.3045,0.873,0.24619,1,1,1,1,0.2482,0.26296
55,0.8942,0.3047,0.87307,0.24626,1,1,1,1,0.25358,0.26589
56,0.8943,0.3048,0.87315,0.24634,1,1,1,1,0.25863,0.26863
57,0.8944,0.305,0.87322,0.24641,1,1,1,1,0.26439,0.27163
58,0.8945,0.3051,0.8733,0.24649,1,1,1,1,0.26439,0.27439
59,0.8945,0.3051,0.8733,0.24649,1,1,1,1,0.27439,0.27439
